GROUP_AC7	GROUP_AC8	GROUP_AC9	GROUP-BN1	GROUP-BN2	GROUP-BN3
ENSG00000223972.5	4	0	1	32	31	3
ENSG00000227232.5	1510	1252	1513	1327	2134	1337
ENSG00000278267.1	42	16	14	17	30	16
ENSG00000243485.5	7	9	0	7	10	8
ENSG00000284332.1	0	0	0	0	0	0
ENSG00000237613.2	11	26	11	15	29	23
ENSG00000268020.3	0	0	0	0	0	0
ENSG00000240361.2	0	0	0	0	0	0
ENSG00000186092.7	0	0	0	0	0	0
ENSG00000238009.6	19	65	12	50	48	34
ENSG00000239945.1	0	0	0	0	0	0
ENSG00000233750.3	3	0	0	0	0	0
ENSG00000268903.1	28	62	32	35	56	28
ENSG00000269981.1	11	57	16	26	28	28
ENSG00000239906.1	3	13	2	6	16	0
ENSG00000241860.7	100	321	259	267	307	359
ENSG00000222623.1	0	3	1	0	0	0
ENSG00000241599.1	0	0	0	0	0	0
ENSG00000279928.2	4	0	0	47	32	3
ENSG00000279457.4	2097	1567	1445	1703	2786	1587
ENSG00000273874.1	2	9	13	8	23	4
ENSG00000228463.10	157	342	248	344	392	235
ENSG00000286448.1	0	0	0	0	0	0
ENSG00000236679.2	31	35	5	12	56	22
ENSG00000236601.2	0	0	2	0	0	0
ENSG00000237094.12	398	690	613	512	623	525
ENSG00000269732.1	0	0	0	0	0	0
ENSG00000284733.2	4	18	1	5	5	0
ENSG00000233653.3	0	0	0	0	0	1
ENSG00000250575.1	96	207	134	116	150	144
ENSG00000278757.1	0	5	1	0	0	0
ENSG00000230021.10	330	295	308	305	329	256
ENSG00000235146.2	0	0	0	0	0	0
ENSG00000225972.1	674	934	358	1163	938	566
ENSG00000225630.1	21920	18147	9395	32509	19227	10507
ENSG00000237973.1	46668	40002	33760	39264	65966	51096
ENSG00000278791.1	10	8	6	16	35	8
ENSG00000229344.1	715	564	273	1397	1318	729
ENSG00000240409.1	6	9	3	32	16	8
ENSG00000248527.1	3952	3730	2275	6284	5994	4795
ENSG00000198744.5	889	500	370	1252	1325	739
ENSG00000268663.1	0	0	0	0	0	0
ENSG00000284662.1	4	18	1	5	5	0
ENSG00000229376.3	0	0	0	0	0	1
ENSG00000228327.3	684	1116	1185	972	1131	1173
ENSG00000223181.1	0	0	4	1	4	6
ENSG00000229905.1	0	0	0	0	0	0
ENSG00000237491.10	57	125	75	123	127	226
ENSG00000285268.1	0	0	0	0	0	0
ENSG00000230092.7	54	46	32	62	109	99
ENSG00000177757.2	8	1	0	15	5	8
ENSG00000228794.10	936	1098	927	1501	1473	921
ENSG00000225880.5	30	38	93	49	85	73
ENSG00000288531.1	0	0	0	2	0	0
ENSG00000230368.2	3	9	7	25	37	10
ENSG00000234711.1	0	0	0	0	0	0
ENSG00000283040.1	0	0	0	0	0	0
ENSG00000272438.1	4	22	30	27	28	17
ENSG00000230699.2	15	58	53	100	147	124
ENSG00000241180.1	0	2	0	0	0	7
ENSG00000223764.2	198	875	1166	687	2549	915
ENSG00000187634.13	178	904	1765	1559	3139	1538
ENSG00000188976.11	2675	2983	3614	5877	5063	5749
ENSG00000187961.14	374	360	640	620	705	863
ENSG00000187583.11	50	21	47	240	112	241
ENSG00000187642.9	13	0	1	5	25	27
ENSG00000272512.1	8	29	52	16	89	40
ENSG00000188290.11	196	217	299	164	353	242
ENSG00000187608.10	710	338	503	868	894	497
ENSG00000231702.2	0	2	1	0	2	0
ENSG00000224969.1	9	0	5	0	11	0
ENSG00000188157.15	16731	7171	7061	6496	8730	9119
ENSG00000242590.1	0	0	0	0	0	0
ENSG00000217801.10	2	29	8	5	8	46
ENSG00000273443.1	0	0	0	0	0	0
ENSG00000237330.3	0	0	0	0	0	0
ENSG00000131591.18	312	262	351	346	530	505
ENSG00000285812.1	0	0	0	1	0	0
ENSG00000223823.1	0	0	0	0	0	0
ENSG00000207730.3	0	0	0	0	0	0
ENSG00000207607.3	0	0	0	0	0	0
ENSG00000198976.1	0	0	0	0	0	0
ENSG00000272141.1	0	0	0	0	0	0
ENSG00000205231.1	0	0	0	1	0	0
ENSG00000162571.14	0	0	0	0	0	0
ENSG00000186891.14	0	8	14	0	0	13
ENSG00000186827.11	0	11	11	7	15	3
ENSG00000078808.19	13125	11861	9916	8892	13052	12070
ENSG00000176022.7	1397	1165	1404	1141	1364	1633
ENSG00000184163.3	35	37	80	62	63	39
ENSG00000260179.1	11	28	39	26	39	24
ENSG00000160087.21	2371	2202	2628	2731	3303	3698
ENSG00000230415.1	38	47	51	31	41	19
ENSG00000162572.21	197	221	310	127	124	158
ENSG00000131584.19	1573	1054	1728	2646	2768	2950
ENSG00000278073.1	0	0	0	0	0	0
ENSG00000169972.12	463	525	485	573	538	660
ENSG00000127054.21	2024	2402	2544	2636	3089	2611
ENSG00000283712.1	0	0	0	0	0	0
ENSG00000240731.1	55	53	119	74	124	137
ENSG00000224051.7	733	866	682	905	1080	1146
ENSG00000169962.5	4	22	8	18	21	14
ENSG00000107404.20	2979	3140	2671	3293	2341	3606
ENSG00000284372.1	0	0	0	0	0	0
ENSG00000162576.17	12528	10660	11775	7868	15258	12103
ENSG00000175756.13	1864	1590	1439	2198	2247	2995
ENSG00000223663.2	0	0	0	0	0	0
ENSG00000221978.12	6066	5779	12977	7366	10919	7439
ENSG00000224870.7	476	475	561	518	646	567
ENSG00000242485.6	1068	967	950	1678	1596	1653
ENSG00000264293.2	0	0	0	0	0	0
ENSG00000272455.1	36	135	190	134	125	132
ENSG00000235098.9	8	16	13	7	28	13
ENSG00000225905.1	0	0	0	0	0	1
ENSG00000205116.4	0	9	0	0	8	6
ENSG00000225285.1	1	21	0	0	21	0
ENSG00000179403.12	46	596	55	29	157	147
ENSG00000215915.10	15	30	20	63	33	49
ENSG00000160072.20	750	816	1228	1832	1167	2839
ENSG00000284740.1	7	5	9	16	16	16
ENSG00000197785.14	1423	1023	1535	2318	1856	3076
ENSG00000205090.9	153	291	227	93	154	117
ENSG00000160075.12	4333	4515	3477	4649	5279	4881
ENSG00000215014.5	50	31	29	40	57	67
ENSG00000274481.1	0	0	0	0	0	0
ENSG00000228594.4	162	88	196	335	132	252
ENSG00000286989.1	1	4	9	8	4	33
ENSG00000272106.1	129	102	270	64	196	130
ENSG00000197530.13	2063	2839	2572	1573	2319	2210
ENSG00000189409.14	324	560	1083	72	222	64
ENSG00000248333.9	2204	2071	2195	2380	3157	2303
ENSG00000272004.1	9	0	2	7	20	13
ENSG00000189339.12	7214	5653	9082	5966	11484	5980
ENSG00000269737.2	0	1	0	4	3	0
ENSG00000215914.4	302	523	1026	72	223	63
ENSG00000008128.23	189	224	197	255	289	219
ENSG00000268575.1	356	383	426	234	501	304
ENSG00000227775.3	1	8	4	11	16	6
ENSG00000215790.8	994	1199	986	791	1618	840
ENSG00000008130.15	3054	2780	2727	3414	4380	3030
ENSG00000078369.18	19760	18327	20361	28443	30188	27154
ENSG00000231050.1	28	25	39	5	18	10
ENSG00000169885.10	7	37	44	22	14	11
ENSG00000178821.13	0	8	0	5	1	0
ENSG00000142609.19	1	2	0	0	0	0
ENSG00000233542.2	0	0	0	0	0	0
ENSG00000187730.9	0	0	0	0	0	0
ENSG00000226969.1	0	0	0	0	0	0
ENSG00000067606.17	57	183	174	46	58	26
ENSG00000271806.1	0	1	0	0	0	0
ENSG00000182873.5	66	223	104	110	98	82
ENSG00000162585.17	1584	1812	1503	1422	1679	1364
ENSG00000234396.3	14	5	2	6	3	0
ENSG00000157933.10	8278	10081	8761	8559	12039	9392
ENSG00000287356.1	34	64	78	26	16	15
ENSG00000116151.14	360	503	578	522	511	377
ENSG00000272161.1	0	0	1	0	0	0
ENSG00000269896.2	33	78	39	80	56	19
ENSG00000272420.1	0	9	4	10	18	4
ENSG00000157916.20	7223	6751	7598	7825	9441	8827
ENSG00000157911.11	835	905	721	1086	1129	987
ENSG00000149527.18	1	22	0	0	3	14
ENSG00000224387.1	0	5	0	0	0	0
ENSG00000229393.1	0	2	0	0	3	0
ENSG00000157881.16	1058	1143	1293	981	1086	1016
ENSG00000197921.6	0	0	0	0	0	0
ENSG00000272449.2	11	15	4	0	0	7
ENSG00000238164.6	33	72	89	59	80	21
ENSG00000157873.18	1707	3022	2339	942	2472	900
ENSG00000225931.3	19	14	17	4	11	7
ENSG00000228037.1	4	16	7	2	3	7
ENSG00000157870.17	708	668	589	823	1129	1235
ENSG00000142606.16	0	0	0	0	0	1
ENSG00000237058.1	0	0	0	0	0	0
ENSG00000215912.12	122	180	200	104	194	85
ENSG00000285945.1	0	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0
ENSG00000287396.1	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0
ENSG00000284745.1	0	0	0	0	0	0
ENSG00000169717.7	0	0	0	0	0	0
ENSG00000177133.12	0	10	4	0	3	1
ENSG00000142611.17	15	90	52	7	78	65
ENSG00000283572.1	0	0	0	0	0	0
ENSG00000226286.1	0	0	0	0	0	0
ENSG00000279839.1	0	0	1	0	0	3
ENSG00000272235.1	0	4	0	0	1	0
ENSG00000287828.1	9	1	0	6	1	3
ENSG00000286518.1	0	0	0	0	2	0
ENSG00000130762.15	0	2	4	3	0	0
ENSG00000272088.1	0	0	0	0	0	0
ENSG00000162591.16	1268	971	1053	258	1912	94
ENSG00000207776.1	0	0	0	0	0	0
ENSG00000238260.1	0	4	41	1	21	8
ENSG00000158109.15	4178	3844	2604	4523	5547	3418
ENSG00000116213.16	782	691	814	614	854	586
ENSG00000078900.15	0	0	2	19	4	4
ENSG00000227589.1	3	0	0	0	0	0
ENSG00000235131.1	0	0	0	0	0	0
ENSG00000227372.12	1541	1835	1881	1263	2042	1440
ENSG00000276189.1	0	0	0	0	0	0
ENSG00000162592.10	0	0	0	0	0	1
ENSG00000235169.11	60	97	40	12	50	15
ENSG00000130764.10	2113	2354	2438	2440	2737	2213
ENSG00000266075.2	11	9	0	0	1	6
ENSG00000272153.1	3	15	5	2	6	12
ENSG00000116198.14	2306	2795	2927	3457	3583	3072
ENSG00000169598.17	222	235	268	238	340	297
