	JG-27250_S1.rsem.genes.results	JG-27251_S2.rsem.genes.results	JG-27255_S6.rsem.genes.results	JG-27256_S7.rsem.genes.results	JG-27260_S11.rsem.genes.results	JG-27261_S12.rsem.genes.results
ENSG00000000003_TSPAN6	123	103	127	75	81	121
ENSG00000000005_TNMD	0	0	0	0	0	0
ENSG00000000419_DPM1	1023	1115	1192	1312	742	1306
ENSG00000000457_SCYL3	280.57	305.07	210.7	272.33	243.64	342.74
ENSG00000000460_C1orf112	424.22	346.12	361.81	251.05	290.63	392.93
ENSG00000000938_FGR	0	2	1	5	0	2
ENSG00000000971_CFH	1241.82	1430	1088	996	746	1432
ENSG00000001036_FUCA2	2929.2	1602.1	3682.04	1900.34	2397.44	2187.83
ENSG00000001084_GCLC	609	366	666	299	451	442
ENSG00000001167_NFYA	1268	1900	1128	1862	1035	2005
ENSG00000001460_STPG1	425	530	420	555	377	640
ENSG00000001461_NIPAL3	1791	2677	1597	2375	1335	2932
ENSG00000001497_LAS1L	1998	2571	2008	2110	1775	2935
ENSG00000001561_ENPP4	64	56	55	60	22	54
ENSG00000001617_SEMA3F	378	920	347	632	185	661
ENSG00000001626_CFTR	0	0	0	0	0	0
ENSG00000001629_ANKIB1	1489	1228	1418	1254	1138	1428
ENSG00000001630_CYP51A1	3471.23	2741.94	2480.6	1656.07	1852.02	2760.76
ENSG00000001631_KRIT1	1231.93	1132.88	1159.76	1004.39	991	1247.61
ENSG00000002016_RAD52	382.16	312.15	231.21	198.19	243.17	263
ENSG00000002079_MYH16	0	2	0	0	0	1
ENSG00000002330_BAD	213.35	436.18	248.53	321.73	235.32	487.9
ENSG00000002549_LAP3	1186	1777	1289	1517	1065	2015
ENSG00000002586_CD99	4769	3807	4129	2926	3277	3973
ENSG00000002587_HS3ST1	11	1	18	0	8	1
ENSG00000002726_AOC1	19	0	12	0	5	0
ENSG00000002745_WNT16	0	0	0	0	1	0
ENSG00000002746_HECW1	96	48	118	65	53	63
ENSG00000002822_MAD1L1	592	537	599	555	571	711
ENSG00000002834_LASP1	7634.81	5211.74	5524.6	3522.1	4351.1	4981.79
ENSG00000002919_SNX11	474	612	374	676	535	901
ENSG00000002933_TMEM176A	0	0	0	0	0	0
ENSG00000003056_M6PR	3596.81	3597.05	4008.7	3924.35	2469.87	4006.85
ENSG00000003096_KLHL13	110	242	98	150	68	259
ENSG00000003137_CYP26B1	34	96	28	90	31	98
ENSG00000003147_ICA1	13	0	13	6	7	6
ENSG00000003249_DBNDD1	53	51	118	60	65	62
ENSG00000003393_ALS2	994	555	1070	765	803	727
ENSG00000003400_CASP10	82	90	64	69	35	79.51
ENSG00000003402_CFLAR	1908.55	1729.37	1871.5	1664.85	1702.43	2091.32
ENSG00000003436_TFPI	1017.9	374.11	1010.25	565.15	819.23	547.99
ENSG00000003509_NDUFAF7	418.86	440	485.57	477.46	308.98	451.69
ENSG00000003756_RBM5	2885.71	3042.59	3141.16	3380.18	2571.91	3566.11
ENSG00000003987_MTMR7	30.96	37.82	28	25.11	22.7	32.51
ENSG00000003989_SLC7A2	3511	4282	3919	3436	4561	5606
ENSG00000004059_ARF5	978.61	1190	983.86	872	792.89	1328.7
