GeneID	GSM1504002	GSM1504003	GSM1504004	GSM1504005	GSM1504006	GSM1504007	GSM1504008	GSM1504009	GSM1504010	GSM1504011	GSM1504012	GSM1504013	GSM1504014	GSM1504015	GSM1504016	GSM1504017	GSM1504018	GSM1504019	GSM1504020
100287102	82	54	124	109	84	72	55	131	108	190	62	27	10	28	10	71	51	12	41
653635	151	161	319	324	267	305	314	269	284	237	372	148	66	78	170	181	222	63	109
102466751	5	7	13	13	8	13	11	13	13	5	15	3	2	6	9	7	11	1	4
107985730	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
100996442	82	96	129	222	124	187	226	147	212	144	133	49	31	66	125	119	132	29	46
729737	818	777	1713	2195	1254	1488	2101	2252	2342	1531	1719	745	343	659	1499	1842	1477	330	850
102725121	70	52	115	112	81	75	56	121	107	154	65	28	9	27	9	68	53	13	44
102723897	177	185	317	380	287	369	408	284	350	265	471	153	84	83	197	208	273	58	127
102465909	5	6	10	12	7	12	10	9	11	6	11	2	3	3	5	4	9	1	3
107985721	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1
112268260	15	12	12	29	21	30	75	11	41	11	14	6	2	10	12	18	16	3	1
729759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100132287	352	359	691	879	715	674	1130	1195	1085	673	872	343	166	287	728	891	820	134	366
105378947	2	1	0	4	2	4	10	0	5	1	1	0	0	2	0	2	1	0	0
101928626	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
113219467	3360	2572	3809	9240	6881	9763	6149	5050	5323	7920	7846	1257	439	1447	2333	2420	3380	1688	1061
81399	3	2	6	10	9	10	17	10	15	5	4	1	0	2	5	5	7	0	2
100133331	296	318	542	696	673	585	1016	1049	924	549	667	314	123	235	602	724	724	100	286
107984841	47	61	54	140	98	105	143	132	139	89	76	38	17	39	94	78	76	19	24
107984847	72	78	98	240	149	185	224	228	220	132	94	42	28	40	100	137	128	32	30
107984849	17	18	21	62	36	37	69	83	44	39	27	9	6	14	28	32	25	11	9
100288069	62	79	84	180	109	139	190	145	163	111	131	32	21	51	117	113	128	29	34
105378580	20	15	21	23	22	25	21	17	20	13	23	5	2	9	9	10	22	14	6
400728	6	8	9	9	9	8	7	9	9	4	5	3	0	2	3	4	4	5	4
79854	15	16	16	26	33	21	23	11	22	14	28	5	4	7	8	12	19	2	14
643837	89	63	96	149	162	131	101	78	101	127	105	54	22	17	54	54	75	23	54
107984850	0	1	3	2	0	3	1	6	1	0	4	1	1	0	2	0	0	0	0
284593	1	0	2	2	3	2	4	1	1	2	1	1	0	1	0	1	2	0	0
284600	1	0	1	0	0	0	1	0	3	0	1	0	0	0	1	0	1	0	1
100130417	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148398	17	20	35	36	40	34	24	23	32	35	43	18	7	5	11	20	23	8	10
26155	242	177	442	358	452	262	350	274	412	345	430	274	77	73	196	198	223	59	156
339451	101	72	138	118	174	101	103	111	169	95	171	110	33	33	50	77	98	25	64
84069	6	8	17	10	11	13	9	5	17	14	15	8	2	5	8	13	5	3	7
84808	2	1	3	2	3	3	1	0	2	2	3	2	1	3	1	4	1	1	2
57801	9	35	38	42	19	16	44	5	39	14	30	67	10	15	13	14	22	7	7
9636	108	301	381	338	197	180	489	297	1005	418	226	772	96	55	97	211	195	24	81
375790	30	34	62	51	60	37	66	36	138	54	46	72	14	18	23	32	54	5	31
100288175	4	2	7	4	7	4	3	3	4	5	4	2	0	2	1	3	2	2	1
112267874	5	7	6	15	2	6	6	3	6	4	4	3	1	5	0	6	10	2	6
105378948	21	15	15	24	28	22	18	13	17	18	19	11	7	7	8	9	18	7	7
401934	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
54991	58	39	75	100	108	75	79	64	79	94	90	57	19	30	32	52	53	23	41
254099	1	2	1	0	1	2	2	0	0	0	2	0	0	0	0	2	1	2	1
406984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100506376	0	1	0	2	2	1	1	1	3	0	2	0	0	0	1	0	2	0	0
