GeneID	GSM2100621	GSM2100622	GSM2100623	GSM2100624	GSM2100625	GSM2100626	GSM2100627	GSM2100628	GSM2100629	GSM2100630	GSM2100631	GSM2100632	GSM2100633	GSM2100634
100287102	15	8	29	31	23	47	28	35	14	34	31	25	21	16
653635	3864	2393	4364	3060	4491	4188	3318	5184	3240	2642	4840	3875	4409	4223
102466751	146	137	181	130	248	304	120	188	167	87	137	180	259	146
107985730	18	22	20	5	29	14	16	20	25	16	16	19	24	31
100302278	2	1	2	1	2	1	1	2	2	2	2	2	2	3
645520	0	0	5	1	2	3	2	2	1	6	5	3	1	1
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	523	600	554	290	1011	464	629	474	514	445	444	471	870	503
729737	947	940	2088	1203	1099	1640	1525	943	793	1578	1792	743	1046	701
102725121	5	6	26	44	16	77	16	9	10	27	15	32	15	10
102723897	3965	3092	5020	3644	5582	5392	3319	4379	3797	2620	5079	4691	5110	4428
102465909	70	73	107	60	156	151	72	159	81	74	77	83	121	71
107985721	65	66	46	39	93	40	31	66	68	72	34	75	81	79
112268260	316	416	343	149	532	281	420	329	335	303	335	342	676	600
729759	1	1	2	2	2	2	2	1	1	1	3	2	2	3
100132287	1397	907	2067	1643	1507	1182	1302	1085	1086	1681	1267	1268	1255	690
105378947	31	25	30	20	32	14	27	3	22	58	45	42	63	90
101928626	1	0	3	1	1	1	3	0	1	6	2	1	4	3
113219467	67106	40511	52982	78794	53278	74848	62689	37443	21590	25836	116148	49492	92768	50497
81399	28	25	24	22	42	23	26	18	18	26	35	18	39	27
100133331	1229	730	1734	1356	1406	898	1114	969	897	1548	1106	1114	1073	583
107984841	169	95	195	70	223	71	113	59	112	157	153	152	140	82
107984847	377	181	468	139	427	212	355	140	277	278	352	391	276	165
107984849	80	56	129	40	103	55	86	53	73	50	80	80	73	50
100288069	311	304	355	190	635	298	308	282	327	349	322	289	456	277
105378580	266	240	290	253	315	248	324	200	239	213	277	230	307	331
400728	49	45	48	26	56	35	45	34	21	35	38	42	59	62
79854	131	116	186	172	189	170	200	169	149	138	190	174	190	147
643837	6802	5176	4157	3619	6716	4366	4608	5375	6537	6672	5425	5896	7134	7474
107984850	102	178	94	143	131	262	256	141	108	97	62	94	119	91
284593	30	35	23	32	45	49	38	22	36	22	24	23	41	27
284600	15	37	40	35	40	89	47	124	72	60	108	53	43	67
100130417	30	23	68	14	53	42	48	61	41	42	108	24	43	22
107985728	28	13	40	3	82	20	36	10	8	16	89	15	22	4
148398	565	619	881	1006	690	865	924	1126	589	795	925	657	725	787
26155	7743	7601	8066	8737	8244	9331	9368	12706	9550	10300	10190	9459	9884	10709
339451	1337	1337	963	1017	1449	2391	1756	1894	1185	1564	1371	1393	1881	1578
84069	5	10	10	14	16	24	10	124	8	19	2	8	20	14
84808	3	12	15	21	11	29	15	59	11	30	4	23	13	27
57801	1067	1026	1132	1093	1306	1362	1064	3456	840	1423	1417	1433	1778	1929
9636	861	911	1143	1313	1128	1452	831	68526	724	1190	1163	980	1015	965
375790	14509	8810	13514	7320	14152	12489	13840	24861	13970	19747	24470	19535	20407	21671
