"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_symbol"	"label"
"ENSG00000000457"	1568.93932535455	0.39010273846673	0.0563994002602476	6.91678877198431	4.61996142925622e-12	1.94467854102109e-11	"SCYL3"	"SCYL3"
"ENSG00000000971"	3462.08489104058	-1.41523859962258	0.102182059074365	-13.850167166749	1.26916384953441e-43	2.20490728887573e-42	"CFH"	"CFH"
"ENSG00000001167"	3116.37170478331	0.637400623591149	0.0636334408149591	10.0167555836664	1.28657117091668e-23	9.96480764637204e-23	"NFYA"	"NFYA"
"ENSG00000001461"	2896.4757651935	-0.25229583679551	0.0736246594778724	-3.42678443044393	0.000610773732315769	0.00126971077821793	"NIPAL3"	"NIPAL3"
"ENSG00000001617"	6075.65324460567	1.13891250158618	0.0824928940037005	13.8061891917029	2.33880815653546e-43	4.02880786935211e-42	"SEMA3F"	"SEMA3F"
"ENSG00000001629"	4666.37834376578	0.219753934715857	0.0553553540265692	3.96987678211543	7.19098096399049e-05	0.000166328292033413	"ANKIB1"	"ANKIB1"
"ENSG00000002016"	556.858766990356	-0.183081946310885	0.0569590809102985	-3.21427142757466	0.00130775988050101	0.0026045649099075	"RAD52"	"RAD52"
"ENSG00000002330"	524.854156438388	0.598693811297192	0.0877872111269156	6.81982949010248	9.11486298251285e-12	3.7603126693211e-11	"BAD"	"BAD"
"ENSG00000002587"	310.086372301037	-0.391487227605515	0.090945329749697	-4.30464355545227	1.67254808536913e-05	4.14814606192302e-05	"HS3ST1"	"HS3ST1"
"ENSG00000002822"	25.1096317042388	0.766712776417521	0.125300156265883	6.11900894034465	9.41591222663441e-10	3.37585581170858e-09	"MAD1L1"	"MAD1L1"
"ENSG00000002919"	1755.62456759979	0.126576310474162	0.0574162978631617	2.20453625860426	0.0274866529030683	0.0447454917743353	"SNX11"	"SNX11"
"ENSG00000003137"	457.497140472803	-2.11404268415786	0.138704840886063	-15.2413042735431	1.88078063424879e-52	4.41837176595728e-51	"CYP26B1"	"CYP26B1"
"ENSG00000003393"	1844.96750104941	-0.118306391452989	0.0441209108512833	-2.6814131705431	0.00733119371728296	0.0131240532936908	"ALS2"	"ALS2"
"ENSG00000003400"	709.52176002074	-0.828913654549393	0.0960165894284172	-8.63302539158995	5.97501655784146e-18	3.4820796021675e-17	"CASP10"	"CASP10"
"ENSG00000003402"	5241.70525377704	-0.990679031492187	0.0575439485330319	-17.2160419426815	2.01292153170411e-66	7.14518469403991e-65	"CFLAR"	"CFLAR"
"ENSG00000005075"	1909.54425771718	0.854554634201383	0.0766755703292285	11.1450704641923	7.5684361466791e-29	7.38853587129932e-28	"POLR2J"	"POLR2J"
"ENSG00000005102"	466.106363303253	-2.66714681943511	0.165349190910461	-16.1303892976375	1.56033799472136e-58	4.35629248138663e-57	"MEOX1"	"MEOX1"
"ENSG00000005187"	260.838751383669	-1.67893179395289	0.12974690470026	-12.9400527729855	2.67445725169779e-38	3.83869063533079e-37	"ACSM3"	"ACSM3"
"ENSG00000005238"	1344.72487288529	0.14670896984713	0.0570461927631495	2.57175742571029	0.0101183759939932	0.0177292153751268	"ATOSB"	"ATOSB"
"ENSG00000005249"	4582.93397078699	-2.48756712877628	0.116587540733975	-21.3364748335528	5.20761070221036e-101	4.86667331491994e-99	"PRKAR2B"	"PRKAR2B"
"ENSG00000005812"	3309.51207374538	-0.566556797211301	0.0614318471360429	-9.22252583349222	2.90182582527851e-20	1.90525150945926e-19	"FBXL3"	"FBXL3"
"ENSG00000006042"	2817.88098398212	-0.357674690049972	0.096557066927782	-3.70428288089455	0.000211989589216904	0.000465585541192205	"TMEM98"	"TMEM98"
