"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000001617"	8544.44018801591	2.19673448465129	0.478009471102367	4.59558778110664	4.31531073006053e-06	9.33768147570965e-05
"ENSG00000005102"	125.1971962493	-4.32230032073161	0.865716087930312	-4.99274575232284	5.95268971784044e-07	1.73873511081841e-05
"ENSG00000005302"	2125.65746505955	0.864881766374655	0.240160801150857	3.60126116431208	0.000316677261378933	0.00335530699098723
"ENSG00000005801"	1269.76768293007	0.944795054146017	0.356190924290174	2.65249614663492	0.00798990398920679	0.0422668917158245
"ENSG00000005812"	2038.5173759661	-1.14274490159222	0.305011608239377	-3.7465620019792	0.000179274708055524	0.00211569584542122
"ENSG00000006042"	1760.16164917384	-2.20310699504906	0.784333824133698	-2.80888943873153	0.0049712715834547	0.0297133473953614
"ENSG00000006118"	5017.44223514224	2.38432666476199	0.550885682582697	4.32816960060323	1.50353672887314e-05	0.000270327943473247
"ENSG00000006451"	4772.59632677692	0.788956247952725	0.296770285490419	2.65847453915057	0.00784952814078308	0.041690439917852
"ENSG00000007237"	876.351640707488	-2.4259941878473	0.746653469849668	-3.24915678532339	0.0011574766235594	0.00946922862144954
"ENSG00000008441"	3702.16093668112	-1.79118036464617	0.51275466224703	-3.49325027450111	0.000477179060895279	0.00467844860753244
"ENSG00000009413"	1134.8513572722	-2.44788482891752	0.44549365566073	-5.49476922468619	3.91221670593201e-08	1.58585349541312e-06
"ENSG00000010030"	1349.18335350087	2.81256170108739	0.698764020406082	4.02505226221133	5.69626634238768e-05	0.000821012316477531
"ENSG00000010072"	803.611490630339	0.813520386657853	0.275663539093706	2.95113524745583	0.00316608248728978	0.0209144948743557
"ENSG00000010244"	7486.06608024276	0.614097704406482	0.14826296133364	4.14194953940359	3.44366118059305e-05	0.000541100302597434
"ENSG00000010292"	8817.23404507816	2.16485382120839	0.324081769938168	6.67996173194632	2.39004652145624e-11	2.02910072025672e-09
"ENSG00000010803"	1416.56052520851	-1.37123064257482	0.337177916795568	-4.0667866259053	4.76658493039207e-05	0.000711354020105148
"ENSG00000010810"	1370.73182685758	-2.24822117381327	0.662244562385099	-3.3948503340159	0.000686661262868491	0.00625570403182683
"ENSG00000011465"	8090.5745984004	-4.62796659479232	0.899510040003767	-5.1449860357011	2.67540711434469e-07	8.79817675547346e-06
"ENSG00000011523"	1083.11903266629	-1.63303534561881	0.379647985651609	-4.30144609569295	1.69687056129133e-05	0.000299109387075081
"ENSG00000012048"	2025.77133052757	3.01228890560575	0.320370130492671	9.4025273235473	5.32679165194034e-21	1.17401076938129e-18
"ENSG00000012211"	1169.67082949208	1.96852584446018	0.41773585504691	4.7123698401209	2.44852474577509e-06	5.81633858239793e-05
"ENSG00000013306"	10320.5499059006	1.29298938468641	0.329495193893915	3.92415248734311	8.70355959129579e-05	0.00116663467556676
"ENSG00000013810"	6529.89237062615	3.46328795638665	0.405485153191263	8.54109682963671	1.3295374314343e-17	2.38361058795368e-15
"ENSG00000015171"	3249.64917657041	-1.21813140559714	0.298495245928865	-4.08090722452388	4.48602596396476e-05	0.000677689260466397
"ENSG00000020181"	638.48553324369	-3.3919685130955	0.796443800041076	-4.25889248296059	2.05442249599092e-05	0.00035098142025964
"ENSG00000020577"	752.528281319553	-2.4965495911805	0.707737349767469	-3.52750860471156	0.000419490126442119	0.00421262263367342
"ENSG00000021645"	102.586539106958	-4.36563966105869	1.33919398481031	-3.25990088857594	0.00111451152368086	0.00919678169988892
"ENSG00000022267"	1346.7585370956	-5.33013873317368	0.948435500088455	-5.61992748339404	1.9103762689208e-08	8.47697629729125e-07
"ENSG00000023909"	2254.34526683104	1.77538793068695	0.660297159980689	2.68877111441593	0.00717155734493277	0.0389722337600085
"ENSG00000024526"	1290.20350025494	5.4897649454035	0.39819498522957	13.7866250179884	3.06779882668424e-43	2.76095066920753e-40
"ENSG00000025423"	272.699089897842	-3.26834157565144	0.628720935976811	-5.19839787198049	2.0101351410621e-07	6.85423130067077e-06
"ENSG00000030110"	2538.68901138208	2.03298085657367	0.415920397439421	4.88790852550042	1.01912860625257e-06	2.80302479471783e-05
"ENSG00000030582"	32486.5493484643	1.08886060522438	0.399724190163023	2.72402979859763	0.00644906875027801	0.0360229956376724
"ENSG00000031003"	1173.36938635689	-1.14695836160997	0.327621788762967	-3.50086105671007	0.000463757561983774	0.00457028476838022
