,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,Ligand,Receptor
FCER2,0,4.115178889,0.632,0.057,0,FCER2,FRC-like,TRUE,FALSE
CR2,0,3.966943648,0.436,0.04,0,CR2,FRC-like,FALSE,TRUE
FCRL1,0,3.732338832,0.749,0.116,0,FCRL1,FRC-like,FALSE,TRUE
CCL14,0,3.714243595,0.567,0.069,0,CCL14,FRC-like,TRUE,FALSE
MUSK,0,3.691963539,0.257,0.026,0,MUSK,FRC-like,FALSE,TRUE
TIMD4,0,3.561854704,0.485,0.068,0,TIMD4,FRC-like,TRUE,TRUE
CNR2,0,3.490823684,0.578,0.076,0,CNR2,FRC-like,FALSE,TRUE
CXCR5,0,3.403898971,0.704,0.116,0,CXCR5,FRC-like,FALSE,TRUE
GFRA1,0,3.398265143,0.707,0.103,0,GFRA1,FRC-like,FALSE,TRUE
CD22,0,3.38051706,0.801,0.16,0,CD22,FRC-like,TRUE,TRUE
RSPO1,0,3.372237796,0.471,0.064,0,RSPO1,FRC-like,TRUE,FALSE
ADRA2A,0,3.198057974,0.836,0.164,0,ADRA2A,FRC-like,FALSE,TRUE
CCL21,0,3.183529101,0.808,0.195,0,CCL21,FRC-like,TRUE,FALSE
CD19,0,3.087068494,0.77,0.172,0,CD19,FRC-like,FALSE,TRUE
F10,0,3.074256602,0.318,0.044,0,F10,FRC-like,TRUE,TRUE
SIGLEC6,0,3.055907751,0.471,0.081,0,SIGLEC6,FRC-like,TRUE,TRUE
FGF7,0,2.990679701,0.73,0.137,0,FGF7,FRC-like,TRUE,FALSE
CADM3,0,2.983081256,0.447,0.086,0,CADM3,FRC-like,TRUE,TRUE
CNR1,0,2.926411281,0.588,0.111,0,CNR1,FRC-like,FALSE,TRUE
TREML2,0,2.926195566,0.385,0.064,0,TREML2,FRC-like,FALSE,TRUE
TNFRSF13B,0,2.829256723,0.835,0.206,0,TNFRSF13B,FRC-like,FALSE,TRUE
DKK2,0,2.805965801,0.381,0.078,0,DKK2,FRC-like,TRUE,FALSE
CR1,0,2.779511421,0.7,0.164,0,CR1,FRC-like,FALSE,TRUE
CNTN3,0,2.747466745,0.318,0.055,0,CNTN3,FRC-like,TRUE,FALSE
LILRA4,0,2.707600332,0.439,0.088,0,LILRA4,FRC-like,FALSE,TRUE
FCRL4,0,2.69497928,0.37,0.074,0,FCRL4,FRC-like,FALSE,TRUE
GDF7,0,2.670666654,0.396,0.078,0,GDF7,FRC-like,TRUE,FALSE
GFRA2,0,2.656823523,0.368,0.069,0,GFRA2,FRC-like,FALSE,TRUE
ANGPTL1,0,2.625057289,0.386,0.077,0,ANGPTL1,FRC-like,TRUE,FALSE
CD40LG,0,2.609627313,0.557,0.12,0,CD40LG,FRC-like,TRUE,TRUE
CD79B,0,2.594080217,0.886,0.335,0,CD79B,FRC-like,TRUE,TRUE
TLR9,0,2.54394678,0.382,0.077,0,TLR9,FRC-like,FALSE,TRUE
NCR3,0,2.510606018,0.437,0.093,0,NCR3,FRC-like,FALSE,TRUE
SELP,0,2.463574647,0.584,0.135,0,SELP,FRC-like,TRUE,TRUE
CD72,0,2.433862323,0.733,0.265,0,CD72,FRC-like,TRUE,TRUE
CCL19,0,2.379320524,0.984,0.407,0,CCL19,FRC-like,TRUE,FALSE
ACKR1,0,2.352857577,0.572,0.146,0,ACKR1,FRC-like,FALSE,TRUE
JAM2,0,2.339222494,0.543,0.135,0,JAM2,FRC-like,TRUE,TRUE
ITGA8,0,2.33419657,0.649,0.164,0,ITGA8,FRC-like,FALSE,TRUE
